index,name,surname,github,project_id,project_name,role
2001,Jan,Kowalski,https://github.com/jan-kowalski,1,System zarządzania zadaniami,leader
2002,Anna,Nowak,https://github.com/anna-nowak,1,System zarządzania zadaniami,member
2003,Piotr,Wiśniewski,https://github.com/piotr-wisniewski,1,System zarządzania zadaniami,member
2004,Maria,Kowalczyk,https://github.com/maria-kowalczyk,1,System zarządzania zadaniami,member
2005,Tomasz,Kamiński,https://github.com/tomasz-kaminski,1,System zarządzania zadaniami,member
2006,Katarzyna,Lewandowska,https://github.com/katarzyna-lewandowska,2,Aplikacja do nauki języków,leader
2007,Michał,Zieliński,https://github.com/michal-zielinski,2,Aplikacja do nauki języków,member
2008,Magdalena,Szymańska,https://github.com/magdalena-szymanska,2,Aplikacja do nauki języków,member
2009,Jakub,Woźniak,https://github.com/jakub-wozniak,2,Aplikacja do nauki języków,member
2010,Alicja,Dąbrowska,https://github.com/alicja-dabrowska,2,Aplikacja do nauki języków,member
